location,size,total_sqft,price,category,bhk,price_per_sqft
Anandapura,2 Bedroom,1000,5500000,Urban,2,5500
Bommasandra Industrial Area,2 BHK,1090,3148000,Urban,2,2888.073394
TC Palaya,2 Bedroom,1200,6000000,Urban,2,5000
Budigere,3 BHK,1991,10300000,Urban,3,5173.279759
Bommasandra,2 BHK,1060,2650000,Urban,2,2500
Ambalipura,2 BHK,1105,7500000,Urban,2,6787.330317
Hoodi,2 BHK,985,6700000,Urban,2,6802.030457
Chandapura,6 Bedroom,1533,8500000,Urban,6,5544.683627
Balagere,3 BHK,1590,7900000,Urban,3,4968.553459
CV Raman Nagar,2 BHK,1120,5500000,Urban,2,4910.714286
Samethanahalli,2 BHK,1069,5500000,Urban,2,5144.995323
Marathahalli,3 BHK,1933,14000000,Urban,3,7242.628039
Hosur Road,2 BHK,1194,6900000,Urban,2,5778.894472
Brookefield,2 BHK,1150,6900000,Urban,2,6000
Yelenahalli,2 BHK,1240,4712000,Urban,2,3800
Raja Rajeshwari Nagar,2 BHK,1419,4810000,Urban,2,3389.711064
7th Phase JP Nagar,8 Bedroom,1200,25000000,Urban,8,20833.33333
Richmond Town,3 BHK,2150,24000000,Urban,3,11162.7907
Suddaguntepalya,3 BHK,1450,5500000,Urban,3,3793.103448
Udayapur Village,3 BHK,1630,6829000,Urban,3,4189.570552
Dasanapura,2 BHK,708,4000000,Urban,2,5649.717514
Kasavanhalli,3 Bedroom,1000,11000000,Urban,3,11000
Whitefield,4 Bedroom,11890,70000000,Urban,4,5887.300252
Bellandur,2 BHK,1250,7600000,Urban,2,6080
7th Phase JP Nagar,3 BHK,1400,9500000,Urban,3,6785.714286
Sarjapur  Road,3 BHK,1670,5700000,Urban,3,3413.173653
Ardendale,3 BHK,1750,10000000,Urban,3,5714.285714
Vittasandra,2 BHK,1404,7100000,Urban,2,5056.980057
Hoodi,3 BHK,1715,9500000,Urban,3,5539.358601
Electronic City,1 BHK,630,3465000,Urban,1,5500
Harlur,3 BHK,1752.12,13500000,Urban,3,7704.951716
Hulimavu,3 BHK,1650,7800000,Urban,3,4727.272727
Raja Rajeshwari Nagar,2 BHK,1295,5547000,Urban,2,4283.397683
Giri Nagar,3 Bedroom,1800,25200000,Urban,3,14000
Sarjapur  Road,2 BHK,1346,7403000,Urban,2,5500
Thippasandra,4 Bedroom,1200,20000000,Urban,4,16666.66667
Hormavu,2 BHK,1150,5500000,Urban,2,4782.608696
Chikkabidarakallu,4 Bedroom,3309,32500000,Urban,4,9821.698398
Chandapura,3 BHK,1190,3035000,Urban,3,2550.420168
AECS Layout,3 BHK,1620,9800000,Urban,3,6049.382716
Marathahalli,2 BHK,950,4696000,Urban,2,4943.157895
1 Giri Nagar,11 BHK,5000,36000000,Urban,11,7200
Harlur,3 BHK,2450,12000000,Urban,3,4897.959184
Electronic City Phase II,3 BHK,1220,3523000,Urban,3,2887.704918
Hoysalanagar,2 BHK,850,3000000,Urban,2,3529.411765
Padmanabhanagar,2 BHK,1020,6300000,Urban,2,6176.470588
Chikkalasandra,2 BHK,1100,5000000,Urban,2,4545.454545
Defence Colony,2 BHK,1150,12600000,Urban,2,10956.52174
Hebbal,3 BHK,1760,13000000,Urban,3,7386.363636
Ambalipura,3 BHK,1800,11000000,Urban,3,6111.111111
Akshaya Nagar,2 BHK,1070,5400000,Urban,2,5046.728972
2nd Stage Nagarbhavi,4 Bedroom,1500,22000000,Urban,4,14666.66667
Vidyaranyapura,2 Bedroom,1440,9500000,Urban,2,6597.222222
Amruthahalli,2 BHK,900,4000000,Urban,2,4444.444444
ITI Employees Layout,4 BHK,1200,23000000,Urban,4,19166.66667
Whitefield,2 BHK,1130,4216000,Urban,2,3730.973451
Koramangala,2 BHK,1320,16500000,Urban,2,12500
Kodigehalli,2 BHK,1270,9800000,Urban,2,7716.535433
Patelappa Layout,2 BHK,1200,6200000,Urban,2,5166.666667
Ring Road Nagarbhavi,4 BHK,4800,23500000,Urban,4,4895.833333
NS Palya,2 BHK,1200,7400000,Urban,2,6166.666667
Subramanyapura,2 BHK,929,5017000,Urban,2,5400.430571
RMV 2nd Stage,4 BHK,1150,26000000,Urban,4,22608.69565
Basavangudi,4 Bedroom,1125,18000000,Urban,4,16000
Kenchenahalli,5 Bedroom,500,6500000,Urban,5,13000
3rd Block Hrbr Layout,5 Bedroom,1200,19000000,Urban,5,15833.33333
KUDLU MAIN ROAD,3 BHK,1464,5600000,Urban,3,3825.136612
7th Phase JP Nagar,4 BHK,3600,40000000,Urban,4,11111.11111
Bank Avenue,4 Bedroom,2000,9900000,Urban,4,4950
Chikkalasandra,2 BHK,1208,4900000,Urban,2,4056.291391
Hebbal Kempapura,2 BHK,1130,6000000,Urban,2,5309.734513
Surabhi Layout,3 BHK,1753,12000000,Urban,3,6845.407872
Old Madras Road,5 BHK,4500,33700000,Urban,5,7488.888889
Banjara Layout,3 Bedroom,600,5800000,Urban,3,9666.666667
Hoodi,2 BHK,1196,9442000,Urban,2,7894.648829
5th Phase JP Nagar,2 BHK,1150,5250000,Urban,2,4565.217391
Electronic City,2 BHK,1128,6300000,Urban,2,5585.106383
Omkar Nagar,2 BHK,1000,5300000,Urban,2,5300
Yelahanka,2 BHK,1035,4500000,Urban,2,4347.826087
Kereguddadahalli,2 BHK,950,3200000,Urban,2,3368.421053
Bisuvanahalli,3 BHK,1075,3600000,Urban,3,3348.837209
Whitefield,2 BHK,1040,4850000,Urban,2,4663.461538
Maragondanahalli,2 Bedroom,720,4500000,Urban,2,6250
Lingadheeranahalli,3 BHK,1511,9500000,Urban,3,6287.227002
Silk Board,3 BHK,1300,5800000,Urban,3,4461.538462
Hoodi,3 BHK,1545,6875000,Urban,3,4449.838188
Shampura,1 BHK,375,2600000,Urban,1,6933.333333
Vidyaranyapura,2 BHK,1062,3800000,Urban,2,3578.154426
Kada Agrahara,2 BHK,1115,4000000,Urban,2,3587.443946
JP Nagar,2 BHK,1000,3500000,Urban,2,3500
Kambipura,2 BHK,883,4500000,Urban,2,5096.262741
Sarjapur  Road,2 BHK,1195,7000000,Urban,2,5857.740586
BHEL Layout,4 Bedroom,1200,16500000,Urban,4,13750
Medahalli,1 Bedroom,700,4100000,Urban,1,5857.142857
Vittasandra,2 BHK,1246,6700000,Urban,2,5377.207063
8th Phase JP Nagar,4 Bedroom,660,9000000,Urban,4,13636.36364
Banashankari Stage III,4 Bedroom,8500,14500000,Urban,4,1705.882353
Kashi Nagar,4 BHK,1600,8000000,Urban,4,5000
Haralur Road,4 BHK,2805,15400000,Urban,4,5490.196078
Begur Road,3 BHK,1584,6500000,Urban,3,4103.535354
Sector 7 HSR Layout,4 Bedroom,3000,27500000,Urban,4,9166.666667
Hosur Road,3 BHK,1175,4800000,Urban,3,4085.106383
"Yemlur, Old Airport Road, ",3 BHK,1595,11500000,Urban,3,7210.031348
VHBCS Layout,2 BHK,1353,11000000,Urban,2,8130.081301
Electronic City,3 BHK,1599,12500000,Urban,3,7817.385866
Whitefield,2 BHK,1150,7000000,Urban,2,6086.956522
Jakkur,4 BHK,5230,46500000,Urban,4,8891.013384
KR Puram,2 BHK,1155,4274000,Urban,2,3700.4329
Ittamadu,1 BHK,1200,8500000,Urban,1,7083.333333
Electronic City Phase II,2 BHK,1000,2500000,Urban,2,2500
Thanisandra,4 BHK,3000,12000000,Urban,4,4000
Rajiv Nagar,3 BHK,1867,16000000,Urban,3,8569.898232
Ramagondanahalli,2 BHK,1251,4700000,Urban,2,3756.994404
Gattahalli,2 BHK,1028,4550000,Urban,2,4426.070039
Arekere,2 BHK,1222,4500000,Urban,2,3682.487725
Bannerghatta Road,3 BHK,1170,6600000,Urban,3,5641.025641
Hebbal,3 BHK,2400,24500000,Urban,3,10208.33333
Ramanjaneyanagar,3 BHK,1385,4848000,Urban,3,3500.361011
HSR Layout,2 BHK,1372,6800000,Urban,2,4956.268222
Magadi Road,3 BHK,1282,4900000,Urban,3,3822.152886
Mico Layout,9 BHK,5000,21000000,Urban,9,4200
7th Block Jayanagar,5 Bedroom,3000,52800000,Urban,5,17600
Kanakpura Road,2 BHK,1135,3973000,Urban,2,3500.440529
Whitefield,3 BHK,1768,10100000,Urban,3,5712.669683
Byatarayanapura,3 BHK,1325,9000000,Urban,3,6792.45283
Electronic City,3 BHK,1599,9900000,Urban,3,6191.369606
Whitefield,3 Bedroom,1500,6195000,Urban,3,4130
2nd Phase JP Nagar,3 Bedroom,2610,49900000,Urban,3,19118.77395
Uttarahalli,2 BHK,1286,6300000,Urban,2,4898.911353
Kammanahalli,5 BHK,2845,14000000,Urban,5,4920.913884
K G Colony,3 BHK,1600,5000000,Urban,3,3125
Hennur Road,2 BHK,1317.5,6377000,Urban,2,4840.227704
Hebbal,3 BHK,3450,26000000,Urban,3,7536.231884
Munnekollal,2 BHK,1102,5367000,Urban,2,4870.235935
Yelahanka,2 BHK,1350,5400000,Urban,2,4000
Banashankari,3 BHK,1200,4200000,Urban,3,3500
Hosa Road,6 Bedroom,1300,14500000,Urban,6,11153.84615
Herohalli,2 Bedroom,1800,8000000,Urban,2,4444.444444
Chikkabanavar,2 BHK,950,4000000,Urban,2,4210.526316
Kanakpura Road,1 BHK,525,2725000,Urban,1,5190.47619
Attibele,2 BHK,656,2500000,Urban,2,3810.97561
Marathahalli,4 Bedroom,1780,17500000,Urban,4,9831.460674
3rd Block Hrbr Layout,2 BHK,1056,8000000,Urban,2,7575.757576
Bannerghatta Road,1 BHK,595,3332000,Urban,1,5600
Ittamadu,2 BHK,1080,5000000,Urban,2,4629.62963
7th Phase JP Nagar,3 BHK,2225,16000000,Urban,3,7191.011236
Bommasandra,2 BHK,1126,2815000,Urban,2,2500
Electronics City Phase 1,3 BHK,1490,8400000,Urban,3,5637.583893
HRBR Layout,4 Bedroom,2000,30000000,Urban,4,15000
Sarjapur  Road,3 BHK,1550,10000000,Urban,3,6451.612903
Ashwini layout,2 BHK,1160,5500000,Urban,2,4741.37931
Whitefield,4 Bedroom,4144,31500000,Rural,4,7601.351351
Sarjapur  Road,3 BHK,2100,12500000,Urban,3,5952.380952
Vittasandra,2 BHK,1404,6930000,Rural,2,4935.897436
Sarjapur  Road,4 Bedroom,2230,22500000,Urban,4,10089.6861
Marathalli bridge,3 BHK,1544,12000000,Urban,3,7772.020725
Banashankari Stage III,3 BHK,1305,5870000,Rural,3,4498.084291
Marathahalli,2 BHK,1230,8000000,Urban,2,6504.065041
T.C PALYA,2 Bedroom,1200,6500000,Rural,2,5416.666667
Harlur,3 BHK,1460,7300000,Rural,3,5000
Gottigere,2 BHK,967,4500000,Rural,2,4653.567735
Byatarayanapura,1 Bedroom,540,3600000,Urban,1,6666.666667
Hormavu,1 BHK,715,4600000,Rural,1,6433.566434
Whitefield,3 BHK,2500,31300000,Rural,3,12520
Dooravani Nagar,3 BHK,1578,18000000,Urban,3,11406.84411
Mysore Road,2 BHK,1020,4895000,Urban,2,4799.019608
Jigani,2 BHK,1020,4000000,Rural,2,3921.568627
Koramangala,2 BHK,1253,10200000,Rural,2,8140.462889
JCR Layout,2 BHK,1180,4200000,Urban,2,3559.322034
Nehru Nagar,2 BHK,961,3800000,Urban,2,3954.21436
Kanakapura,3 BHK,1419,7500000,Urban,3,5285.412262
Harlur,3 BHK,1709,15000000,Rural,3,8777.06261
Papareddipalya,2 Bedroom,1600,11500000,Rural,2,7187.5
Venkatapura,1 BHK,416,1850000,Urban,1,4447.115385
Sanjay nagar,2 BHK,1100,9800000,Urban,2,8909.090909
HSR Layout,3 BHK,1430,6500000,Urban,3,4545.454545
Sneha Colony,2 BHK,1260,4500000,Urban,2,3571.428571
RMV Extension,3 BHK,1630,8500000,Urban,3,5214.723926
Sarjapur  Road,3 BHK,1249,4471000,Urban,3,3579.663731
Kalena Agrahara,3 BHK,1450,8500000,Urban,3,5862.068966
Konanakunte,3 BHK,2791,22300000,Rural,3,7989.967753
Hosapalya,1 BHK,600,9000000,Rural,1,15000
Ashwini layout,1 BHK,834,6000000,Urban,1,7194.244604
Doddagubbi,3 Bedroom,1125,7000000,Rural,3,6222.222222
Arekere,3 BHK,2060,14000000,Rural,3,6796.116505
Malleshwaram,7 BHK,12000,220000000,Rural,7,18333.33333
Gottigere,2 BHK,891,2500000,Rural,2,2805.836139
Raja Rajeshwari Nagar,2 BHK,1133,4907000,Urban,2,4330.9797
Bisuvanahalli,3 BHK,1075,3700000,Urban,3,3441.860465
Sector 6 HSR Layout,4 BHK,3000,26000000,Urban,4,8666.666667
Brookefield,4 Bedroom,2440,42500000,Rural,4,17418.03279
Vidyaranyapura,2 BHK,1200,5500000,Urban,2,4583.333333
Thanisandra,2 BHK,1075,4580000,Rural,2,4260.465116
Kaggadasapura,2 BHK,1140,4000000,Urban,2,3508.77193
Margondanahalli,5 Bedroom,940,15000000,Urban,5,15957.44681
ITI Layout,6 Bedroom,2160,25000000,Urban,6,11574.07407
Raja Rajeshwari Nagar,2 BHK,1090,4200000,Urban,2,3853.211009
R.T. Nagar,4 Bedroom,1500,7000000,Urban,4,4666.666667
Whitefield,4 BHK,4104,36000000,Rural,4,8771.929825
Whitefield,3 BHK,1790,10000000,Rural,3,5586.592179
Hebbal,3 BHK,1920,13400000,Rural,3,6979.166667
HRBR Layout,2 BHK,1374,9500000,Urban,2,6914.11936
Bannerghatta Road,3 BHK,1445,9500000,Urban,3,6574.394464
Kanakapura,1 BHK,711,3600000,Urban,1,5063.291139
Tumkur Road,3 BHK,1500,9500000,Urban,3,6333.333333
Whitefield,3 BHK,1720,10000000,Rural,3,5813.953488
Vasanthapura,3 BHK,1400,6000000,Urban,3,4285.714286
Kundalahalli,2 BHK,1030,4900000,Urban,2,4757.281553
Mysore Road,2 BHK,1200,8500000,Urban,2,7083.333333
Hosahalli,3 BHK,1375,7000000,Urban,3,5090.909091
Hegde Nagar,2 Bedroom,1050,5600000,Urban,2,5333.333333
Jalahalli,3 BHK,2250,16000000,Urban,3,7111.111111
Bellandur,2 BHK,1000,5000000,Rural,2,5000
Jalahalli West,1 BHK,469,2500000,Urban,1,5330.490405
Marathahalli,4 BHK,3800,25000000,Urban,4,6578.947368
Kambipura,2 BHK,883,2900000,Urban,2,3284.258211
GM Palaya,3 BHK,1820,8600000,Rural,3,4725.274725
Singasandra,3 BHK,1440,6500000,Rural,3,4513.888889
near Ramanashree California resort,6 BHK,3600,16000000,Rural,6,4444.444444
Malleshwaram,4 BHK,2500,32500000,Rural,4,13000
Mahadevpura,2 BHK,1225,4800000,Urban,2,3918.367347
"6th block banashankari 3rd stage, 100 feet ORR",3 Bedroom,4000,66000000,Rural,3,16500
Chikkalasandra,2 BHK,875,5280000,Rural,2,6034.285714
Jalahalli East,1 BHK,750,4000000,Urban,1,5333.333333
6th Phase JP Nagar,2 BHK,1180,8000000,Urban,2,6779.661017
Haralur Road,2 BHK,1194,4700000,Urban,2,3936.348409
Hennur Road,3 BHK,1500,6200000,Urban,3,4133.333333
Poornapragna Housing Society Layout,2 BHK,1160,5220000,Urban,2,4500
Hosakerehalli,3 BHK,2378,26200000,Urban,3,11017.6619
Sarjapur,2 BHK,1128,6000000,Rural,2,5319.148936
Hebbal,3 BHK,1500,15000000,Rural,3,10000
Huskur,3 BHK,1220,3523000,Rural,3,2887.704918
Sarjapur  Road,2 BHK,1210,5800000,Urban,2,4793.38843
Kanakpura Road,3 BHK,1100,5800000,Urban,3,5272.727273
Bommasandra,3 BHK,1200,4600000,Rural,3,3833.333333
Haralur Road,4 BHK,3385,26000000,Urban,4,7680.945347
Nagondanahalli,3 BHK,1641,6600000,Urban,3,4021.937843
Horamavu Agara,2 BHK,1200,4500000,Rural,2,3750
Raja Rajeshwari Nagar,2 BHK,1260,6739000,Urban,2,5348.412698
Mahadevpura,3 BHK,1720,7800000,Urban,3,4534.883721
Yelahanka,2 BHK,1132.5,4813000,Rural,2,4249.889625
Yelahanka,2 BHK,1210,4598000,Rural,2,3800
Indira Nagar,4 Bedroom,2200,20000000,Urban,4,9090.909091
Bisuvanahalli,3 BHK,1075,4500000,Urban,3,4186.046512
Thanisandra,3 BHK,1702,13000000,Rural,3,7638.072855
Shanthala Nagar,2 BHK,1630,20000000,Urban,2,12269.93865
Raja Rajeshwari Nagar,2 BHK,1141,3855000,Urban,2,3378.61525
Shantiniketan Layout,3 BHK,2072,10800000,Urban,3,5212.355212
JP Nagar,5 BHK,5520,37500000,Urban,5,6793.478261
Herohalli,3 Bedroom,1200,7000000,Urban,3,5833.333333
Teachers Colony,3 BHK,1350,7700000,Urban,3,5703.703704
Bettahalsoor,4 Bedroom,4046,44500000,Rural,4,10998.51705
Srinivasa Nagar,3 BHK,1180,7834000,Urban,3,6638.983051
Yelahanka,3 BHK,35000,13000000,Rural,3,371.4285714
Langford Town,2 BHK,1355,11500000,Urban,2,8487.084871
Sulthangunta,1 Bedroom,600,5000000,Rural,1,8333.333333
Hormavu,7 Bedroom,1200,15000000,Rural,7,12500
Bannerghatta Road,3 BHK,1640,12000000,Urban,3,7317.073171
Byrathi Village,5 Bedroom,1200,10000000,Rural,5,8333.333333
Kodichikkanahalli,3 BHK,1190,5700000,Urban,3,4789.915966
OMBR Layout,4 Bedroom,2400,37500000,Urban,4,15625
Marathahalli,2 BHK,1019,4985000,Urban,2,4892.05103
Ambedkar Colony,3 BHK,1875,16500000,Urban,3,8800
Akshaya Nagar,3 BHK,1250,4000000,Urban,3,3200
Brookefield,3 Bedroom,1200,14000000,Rural,3,11666.66667
Whitefield,2 BHK,1140,5600000,Rural,2,4912.280702
Lingadheeranahalli,3 BHK,1683,10900000,Urban,3,6476.530006
Kaggadasapura,3 BHK,1515,8330000,Urban,3,5498.349835
Hoodi,4 BHK,2118,11100000,Rural,4,5240.793201
Bannerghatta Road,4 Bedroom,1380,5800000,Urban,4,4202.898551
Varthur Road,2 BHK,1083,6175000,Urban,2,5701.754386
Anjappa Layout,2 Bedroom,600,5500000,Urban,2,9166.666667
Avalahalli,3 BHK,2300,12000000,Urban,3,5217.391304
Prakruthi Nagar,2 BHK,1240,6000000,Urban,2,4838.709677
Surabhi Layout,3 BHK,1750,12000000,Urban,3,6857.142857
Sadaramangala,2 BHK,1230,4348000,Rural,2,3534.95935
Anjanapura,3 Bedroom,1500,13900000,Urban,3,9266.666667
Abbigere,2 BHK,985,4039000,Rural,2,4100.507614
Tindlu,3 Bedroom,1500,8700000,Rural,3,5800
Electronic City,2 BHK,1125,3249000,Rural,2,2888
Maruthi Sevanagar,2 BHK,950,4400000,Urban,2,4631.578947
JP Nagar,5 BHK,5600,54850000,Urban,5,9794.642857
Kothanur,3 BHK,1580,7600000,Rural,3,4810.126582
B Narayanapura,3 Bedroom,1092,9850000,Urban,3,9020.14652
Electronic City Phase II,2 BHK,1090,2834000,Urban,2,2600
Hennur Road,3 Bedroom,2264,15900000,Urban,3,7022.968198
Dommasandra,3 BHK,1033,2553000,Rural,3,2471.442401
Kammasandra,2 BHK,810,2450000,Rural,2,3024.691358
Green Garden Layout,2 BHK,1045,4500000,Urban,2,4306.220096
Hebbal,2 BHK,1337,8200000,Rural,2,6133.133882
Chandapura,2 BHK,1200,3200000,Urban,2,2666.666667
Koramangala,3 BHK,1580,16000000,Rural,3,10126.58228
Begur Road,3 BHK,1500,5400000,Urban,3,3600
Whitefield,3 BHK,1640,9100000,Rural,3,5548.780488
Silver Springs Layout,3 BHK,1570,6200000,Urban,3,3949.044586
Gubbalala,3 BHK,1470,8200000,Rural,3,5578.231293
Kengeri,2 BHK,1160,4061000,Rural,2,3500.862069
7th Phase JP Nagar,2 BHK,1050,7100000,Urban,2,6761.904762
Dairy Circle,3 BHK,1855,22500000,Rural,3,12129.38005
Bannerghatta Road,3 BHK,1460,9000000,Urban,3,6164.383562
Hulimavu,3 BHK,1823,10000000,Rural,3,5485.463522
Electronic City,2 BHK,1094,4200000,Rural,2,3839.122486
Budigere,2 BHK,1153,5700000,Rural,2,4943.625325
Hoysalanagar,3 BHK,1325,5700000,Urban,3,4301.886792
Parappana Agrahara,4 Bedroom,1200,8500000,Urban,4,7083.333333
Jakkur,3 BHK,1590,12500000,Rural,3,7861.63522
Jeevan bima nagar,5 Bedroom,1210,16000000,Urban,5,13223.1405
Raja Rajeshwari Nagar,4 Bedroom,1200,22000000,Urban,4,18333.33333
Narayana Nagar 1st Block,2 BHK,1202,4800000,Urban,2,3993.344426
Haralur Road,2 BHK,1202,5300000,Urban,2,4409.317804
KSRTC Layout,2 BHK,1200,6250000,Urban,2,5208.333333
Panathur,3 BHK,1688,11800000,Rural,3,6990.521327
Kaval Byrasandra,2 BHK,1020,5200000,Rural,2,5098.039216
Sarjapur,2 BHK,1185,4700000,Rural,2,3966.244726
Ramagondanahalli,2 BHK,1235,5204000,Urban,2,4213.765182
Hosakerehalli,4 BHK,3205,50000000,Urban,4,15600.62402
Banashankari,2 BHK,1077,3764000,Rural,2,3494.893222
Kengeri Satellite Town,3 BHK,1415,6600000,Urban,3,4664.310954
EPIP Zone,3 BHK,2330,16200000,Rural,3,6952.7897
Whitefield,2 BHK,805,3500000,Rural,2,4347.826087
P&T Colony,1 BHK,425,2003000,Urban,1,4712.941176
Whitefield,2 BHK,1155,5995000,Rural,2,5190.47619
Cunningham Road,4 BHK,5270,125000000,Urban,4,23719.16509
Anekal,2 BHK,656,2200000,Rural,2,3353.658537
New Gurappana Palya,2 BHK,1100,4800000,Rural,2,4363.636364
Mahadevpura,2 BHK,1150,5200000,Urban,2,4521.73913
Chelekare,1 Bedroom,600,6000000,Rural,1,10000
Ambedkar Colony,2 BHK,1468,14000000,Urban,2,9536.784741
Palanahalli,4 Bedroom,4300,55000000,Urban,4,12790.69767
Whitefield,3 BHK,2280,12600000,Rural,3,5526.315789
Hegde Nagar,2 BHK,1341,9700000,Urban,2,7233.407905
Jakkur,2 BHK,1279,7700000,Rural,2,6020.328382
Electronic City Phase II,4 BHK,2225,9888000,Urban,4,4444.044944
Thanisandra,2 BHK,1185,4351000,Rural,2,3671.729958
Vadarpalya,3 BHK,1750,8500000,Rural,3,4857.142857
Kudlu,2 BHK,1152,5350000,Rural,2,4644.097222
Shivanagar,5 Bedroom,1000,16000000,Urban,5,16000
Hulimavu,2 BHK,1300,3600000,Rural,2,2769.230769
Varthur Road,4 Bedroom,2760,15500000,Urban,4,5615.942029
5th Phase JP Nagar,2 BHK,1070,3900000,Urban,2,3644.859813
Uttarahalli,2 BHK,1101,4500000,Urban,2,4087.19346
V.V Puram,2 BHK,775,5500000,Urban,2,7096.774194
Yeshwanthpur,1 BHK,667,3685000,Rural,1,5524.737631
Electronic City,2 BHK,1070,5500000,Rural,2,5140.186916
Old Airport Road,3 BHK,1875,11000000,Urban,3,5866.666667
Kundalahalli,2 BHK,735,5799000,Urban,2,7889.795918
Sarjapur,5 Bedroom,4360,9000000,Rural,5,2064.220183
Koramangala,3 BHK,1750,13000000,Rural,3,7428.571429
Marathahalli,2 BHK,1215,6700000,Urban,2,5514.403292
Sector 3 HSR Layout,9 Bedroom,600,19000000,Urban,9,31666.66667
Vishwapriya Layout,2 BHK,820,3000000,Urban,2,3658.536585
Banashankari Stage VI,2 BHK,1177.5,5993500,Rural,2,5090.021231
Battarahalli,3 BHK,1779,8961000,Urban,3,5037.099494
HMT Layout,2 BHK,1105,5800000,Urban,2,5248.868778
Whitefield,3 BHK,1650,6000000,Rural,3,3636.363636
Jalahalli,2 BHK,1694,15000000,Urban,2,8854.781582
Hosakerehalli,3 BHK,2376,20300000,Urban,3,8543.771044
Cox Town,3 BHK,1975,15000000,Urban,3,7594.936709
Kammasandra,2 BHK,674,3300000,Rural,2,4896.142433
Kaggadasapura,2 BHK,1185,4100000,Urban,2,3459.915612
 Thanisandra,1 RK,445,2800000,Rural,1,6292.134831
Mylasandra,6 Bedroom,900,7600000,Rural,6,8444.444444
HSR Layout,3 BHK,1475,7500000,Urban,3,5084.745763
Gottigere,3 BHK,1618,8250000,Rural,3,5098.887515
Koramangala,2 BHK,1120,6500000,Rural,2,5803.571429
Marathahalli,4 BHK,2181,15200000,Urban,4,6969.280147
Vidyaranyapura,4 Bedroom,1200,9000000,Urban,4,7500
Nagondanahalli,6 Bedroom,600,6500000,Urban,6,10833.33333
Bannerghatta Road,3 BHK,1556,5913000,Urban,3,3800.128535
Bannerghatta Road,2 BHK,1179,6602000,Urban,2,5599.660729
Thanisandra,2 BHK,1296,8300000,Rural,2,6404.320988
Kaggadasapura,2 BHK,1275,5200000,Urban,2,4078.431373
Kalasipalya,7 Bedroom,1875,30000000,Rural,7,16000
Kathriguppe,3 BHK,1400,7700000,Rural,3,5500
Gottigere,2 BHK,1222,6300000,Rural,2,5155.482815
Electronic City,2 BHK,940,4100000,Rural,2,4361.702128
Thanisandra,2 BHK,1185,4260000,Rural,2,3594.936709
Tumkur Road,3 BHK,1779,11200000,Urban,3,6295.671726
Begur Road,3 BHK,1615,5976000,Urban,3,3700.309598
JP Nagar,4 BHK,4624.5,45300000,Urban,4,9795.653584
Haralur Road,2 BHK,1056,6100000,Urban,2,5776.515152
7th Phase JP Nagar,2 BHK,1100,4600000,Urban,2,4181.818182
Arekere,2 BHK,920,4000000,Rural,2,4347.826087
ITI Layout,3 BHK,1602,7500000,Urban,3,4681.64794
Padmanabhanagar,2 BHK,1176,6200000,Urban,2,5272.108844
HBR Layout,4 Bedroom,675,5900000,Urban,4,8740.740741
Richmond Town,3 BHK,1352,13500000,Urban,3,9985.207101
Kasavanhalli,3 BHK,1717,9900000,Urban,3,5765.870705
4 Bedroom Farm House in Bagalur,4 Bedroom,10961,8000000,Rural,4,729.8604142
Bhoganhalli,4 BHK,2119,11100000,Urban,4,5238.319962
Vittasandra,2 BHK,1246,6730000,Rural,2,5401.284109
Anandapura,2 BHK,1141,4279000,Urban,2,3750.219106
Hennur Road,2 BHK,1157,8400000,Urban,2,7260.155575
Chandapura,2 BHK,1025,2768000,Urban,2,2700.487805
Yelahanka New Town,1 BHK,650,3300000,Urban,1,5076.923077
Hebbal,2 BHK,1349,9800000,Rural,2,7264.640474
Narayanapura,3 BHK,1566,8330000,Urban,3,5319.284802
Sahakara Nagar,4 BHK,2830,19500000,Urban,4,6890.459364
Electronic City,3 BHK,1320,3813000,Rural,3,2888.636364
manyata park,3 BHK,1780,8483000,Rural,3,4765.730337
Varthur,2 BHK,1091,3490000,Rural,2,3198.900092
Rachenahalli,4 BHK,3670,30000000,Urban,4,8174.386921
7th Phase JP Nagar,2 BHK,918,5049000,Urban,2,5500
Yeshwanthpur,4 BHK,1950,13000000,Rural,4,6666.666667
Panathur,3 BHK,1695,9000000,Rural,3,5309.734513
Yelahanka,3 BHK,1705,9500000,Rural,3,5571.847507
Kalyan nagar,3 BHK,1375,7500000,Urban,3,5454.545455
Kanakpura Road,1 BHK,525,3000000,Urban,1,5714.285714
Whitefield,2 BHK,1447,8300000,Rural,2,5736.005529
Thanisandra,2 BHK,1114,3900000,Rural,2,3500.897666
7th Phase JP Nagar,3 BHK,1450,10000000,Urban,3,6896.551724
Belathur,2 BHK,460,1500000,Rural,2,3260.869565
Vasanthapura,2 BHK,1022,4000000,Urban,2,3913.894325
Hebbal,2 BHK,1000,4500000,Rural,2,4500
Electronic City,2 BHK,1128,6875000,Rural,2,6094.858156
Kanakpura Road,2 BHK,1180,5700000,Urban,2,4830.508475
TC Palaya,6 Bedroom,1000,6900000,Rural,6,6900
Nagarbhavi,2 Bedroom,1200,15000000,Urban,2,12500
Sadashiva Nagar,3 BHK,3761,66000000,Urban,3,17548.52433
Kanakpura Road,2 BHK,1339,7500000,Urban,2,5601.194922
Yelachenahalli,3 BHK,1400,5500000,Urban,3,3928.571429
7th Phase JP Nagar,2 BHK,1040,3952000,Urban,2,3800
Kadugodi,2 BHK,1198,5800000,Rural,2,4841.402337
